strategy,symbol,timeframe,mode,rr_cap,trade_count,resolved_count,wins,losses,win_rate,tp1_count,tp2_count,sl_count,net_r,profit_factor,expectancy,average_r,average_winning_r,average_losing_r,max_drawdown_r,max_consecutive_wins,max_consecutive_losses,outlier_dependency
ICT,NZDUSD,M30,Cap_4.0,,51,51,3,48,0.058823529411764705,3,0,48,-41.840590844097456,0.12832102408130305,-0.8204037420411265,-0.8204037420411265,2.053136385300849,-1.0,41.840590844097456,2,29,N/A (baseline non-positive)
ICT,NZDUSD,M30,Cap_3.0,,51,51,3,48,0.058823529411764705,3,0,48,-41.840590844097456,0.12832102408130305,-0.8204037420411265,-0.8204037420411265,2.053136385300849,-1.0,41.840590844097456,2,29,N/A (baseline non-positive)
ICT,NZDUSD,M30,Cap_2.5,,51,51,3,48,0.058823529411764705,3,0,48,-41.840590844097456,0.12832102408130305,-0.8204037420411265,-0.8204037420411265,2.053136385300849,-1.0,41.840590844097456,2,29,N/A (baseline non-positive)
ICT,NZDUSD,M30,Cap_2.0,,51,51,3,48,0.058823529411764705,3,0,48,-42.50000000000004,0.11458333333333248,-0.8333333333333341,-0.8333333333333341,1.8333333333333197,-1.0,42.50000000000004,2,29,N/A (baseline non-positive)
ICT,NZDUSD,H1,Baseline,,5,5,1,4,0.2,1,0,4,-2.471841455884066,0.38203963602898355,-0.4943682911768132,-0.4943682911768132,1.5281585441159342,-1.0,4.0,1,4,N/A (baseline non-positive)
ICT,NZDUSD,H1,Cap_5.0,,5,5,1,4,0.2,1,0,4,-2.471841455884066,0.38203963602898355,-0.4943682911768132,-0.4943682911768132,1.5281585441159342,-1.0,4.0,1,4,N/A (baseline non-positive)
ICT,NZDUSD,H1,Cap_4.0,,5,5,1,4,0.2,1,0,4,-2.471841455884066,0.38203963602898355,-0.4943682911768132,-0.4943682911768132,1.5281585441159342,-1.0,4.0,1,4,N/A (baseline non-positive)
ICT,NZDUSD,H1,Cap_3.0,,5,5,1,4,0.2,1,0,4,-2.471841455884066,0.38203963602898355,-0.4943682911768132,-0.4943682911768132,1.5281585441159342,-1.0,4.0,1,4,N/A (baseline non-positive)
ICT,NZDUSD,H1,Cap_2.5,,5,5,1,4,0.2,1,0,4,-2.471841455884066,0.38203963602898355,-0.4943682911768132,-0.4943682911768132,1.5281585441159342,-1.0,4.0,1,4,N/A (baseline non-positive)
ICT,NZDUSD,H1,Cap_2.0,,5,5,1,4,0.2,1,0,4,-2.471841455884066,0.38203963602898355,-0.4943682911768132,-0.4943682911768132,1.5281585441159342,-1.0,4.0,1,4,N/A (baseline non-positive)
ICT,NZDUSD,H4,Baseline,,3,3,0,3,0.0,0,0,3,-3.0,0.0,-1.0,-1.0,0.0,-1.0,3.0,0,3,N/A (baseline non-positive)
ICT,NZDUSD,H4,Cap_5.0,,3,3,0,3,0.0,0,0,3,-3.0,0.0,-1.0,-1.0,0.0,-1.0,3.0,0,3,N/A (baseline non-positive)
ICT,NZDUSD,H4,Cap_4.0,,3,3,0,3,0.0,0,0,3,-3.0,0.0,-1.0,-1.0,0.0,-1.0,3.0,0,3,N/A (baseline non-positive)
ICT,NZDUSD,H4,Cap_3.0,,3,3,0,3,0.0,0,0,3,-3.0,0.0,-1.0,-1.0,0.0,-1.0,3.0,0,3,N/A (baseline non-positive)
ICT,NZDUSD,H4,Cap_2.5,,3,3,0,3,0.0,0,0,3,-3.0,0.0,-1.0,-1.0,0.0,-1.0,3.0,0,3,N/A (baseline non-positive)
ICT,NZDUSD,H4,Cap_2.0,,3,3,0,3,0.0,0,0,3,-3.0,0.0,-1.0,-1.0,0.0,-1.0,3.0,0,3,N/A (baseline non-positive)
SweepDisplacement,EURUSD,M1,Baseline,,513,513,89,424,0.17348927875243664,88,1,424,-111.28580998378068,0.7375334670193849,-0.2169314034771553,-0.2169314034771553,3.513642584451902,-1.0,158.85664144309058,7,27,N/A (baseline non-positive)
SweepDisplacement,EURUSD,M1,Cap_5.0,,513,513,89,424,0.17348927875243664,88,1,424,-179.90053105944313,0.5757062946711247,-0.35068329641216983,-0.35068329641216983,2.7426906622534477,-1.0,187.94387642943352,7,27,N/A (baseline non-positive)
